Unnamed: 0,variable,value,Age,Id,Positon,Toys,Toy_1,Toy_2,Toy_1_Size,Toy_1_Weight,Toy_2_Size,Toy_2_Weight
12_09,Stand_Small Light & Small Light,0.0,12,09,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_08,Stand_Small Light & Small Light,0.0,24,08,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_38,Stand_Small Light & Small Light,0.0,24,38,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_37,Stand_Small Light & Small Light,0.0,24,37,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_04,Stand_Small Light & Small Light,0.0,24,04,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_51,Stand_Small Light & Small Light,0.0,24,51,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_18,Stand_Small Light & Small Light,0.0,24,18,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_28,Stand_Small Light & Small Light,0.0,24,28,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_22,Stand_Small Light & Small Light,0.0,24,22,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_03,Stand_Small Light & Small Light,0.0,24,03,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_43,Stand_Small Light & Small Light,0.0,24,43,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_46,Stand_Small Light & Small Light,0.0,24,46,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_27,Stand_Small Light & Small Light,0.0,24,27,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_02,Stand_Small Light & Small Light,0.0,24,02,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_16,Stand_Small Light & Small Light,0.0,24,16,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_29,Stand_Small Light & Small Light,0.0,12,29,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_12,Stand_Small Light & Small Light,0.0,24,12,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
